,country_id,latitude,longitude,bright_ti4,bright_ti5,scan,track,acq_date,acq_time,frp,daynight
210,BGR,42.71505,24.16969,316.1,289.1,0.52,0.42,2020-09-01,2354,3.2,N
211,BGR,42.71952,24.16418,301.4,285.9,0.52,0.42,2020-09-01,2354,0.5,N
212,BGR,43.08737,24.17624,298.3,287.7,0.53,0.42,2020-09-01,2354,0.5,N
213,BGR,43.23369,27.59538,307.2,291.6,0.41,0.37,2020-09-01,2354,1.0,N
214,BGR,42.71626,24.17305,339.7,271.0,0.41,0.37,2020-12-01,6,8.1,N
215,BGR,42.71701,24.17187,345.4,271.4,0.41,0.45,2020-12-01,2348,10.0,N
216,BGR,42.71431,24.17037,330.72,266.2,0.47,0.64,2022-03-01,119,3.74,N
217,BGR,42.59214,23.10549,296.4,283.68,0.43,0.46,2022-06-01,56,0.53,N
218,BGR,42.71238,24.17309,296.92,282.84,0.47,0.48,2022-06-01,56,0.6,N
219,BGR,42.71665,24.17467,336.59,284.92,0.47,0.48,2022-06-01,56,4.36,N
220,BGR,42.71795,24.16914,304.43,283.75,0.47,0.48,2022-06-01,56,3.23,N
221,BGR,42.71849,24.1713,301.83,283.18,0.47,0.48,2022-06-01,56,1.02,N
222,BGR,43.2311,27.59559,298.85,286.09,0.33,0.56,2022-06-01,56,0.71,N
223,BGR,43.28463,23.46813,296.97,284.96,0.43,0.46,2022-06-01,56,0.39,N
224,BGR,42.71394,24.1722,337.56,303.27,0.51,0.5,2022-06-01,1038,8.12,D
225,BGR,42.71499,24.17026,328.75,302.31,0.51,0.5,2022-06-01,1038,7.45,D
226,BGR,43.23162,27.59052,296.16,284.94,0.72,0.76,2022-06-01,2257,0.6,N
227,BGR,42.06258,24.8127,301.47,288.62,0.43,0.38,2022-09-01,30,0.84,N
228,BGR,42.45367,23.81507,332.08,290.61,0.4,0.37,2022-09-01,30,17.42,N
229,BGR,42.71386,24.16999,298.18,285.05,0.41,0.37,2022-09-01,30,1.05,N
230,BGR,42.71721,24.17102,335.39,286.65,0.41,0.37,2022-09-01,30,3.62,N
231,BGR,42.71894,24.16133,309.39,285.72,0.41,0.37,2022-09-01,30,0.92,N
232,BGR,43.23371,27.59612,302.7,289.0,0.51,0.41,2022-09-01,30,0.98,N
233,BGR,43.28395,23.4667,299.27,287.59,0.39,0.36,2022-09-01,30,0.57,N
234,BGR,42.37793,24.96632,329.07,293.26,0.49,0.65,2022-09-01,1013,4.81,D
235,BGR,42.45181,23.82116,325.07,291.82,0.55,0.68,2022-09-01,1013,3.86,D
236,BGR,42.38115,24.9679,330.29,298.93,0.58,0.52,2022-09-01,1153,3.2,D
237,CYP,35.02694,33.3376,339.3,307.5,0.57,0.43,2020-06-01,1018,4.0,D
238,CYP,34.72773,33.31533,298.4,285.3,0.47,0.64,2020-06-01,2242,0.6,N
239,CYP,34.72395,33.31581,310.5,295.3,0.35,0.57,2020-09-01,18,1.6,N
240,CYP,34.72531,33.31644,308.1,295.8,0.35,0.57,2020-09-01,18,1.6,N
241,CYP,34.7256,33.31443,312.3,295.0,0.39,0.44,2020-09-01,2354,1.8,N
242,CYP,34.72549,33.31448,304.7,282.9,0.5,0.41,2020-12-01,2348,1.5,N
243,CYP,34.72675,33.31441,302.19,285.32,0.43,0.62,2022-12-01,24,0.75,N
244,CZE,49.21589,16.77611,307.2,283.7,0.45,0.39,2020-06-01,36,1.0,N
245,CZE,49.3034,15.12578,297.5,278.2,0.51,0.41,2020-06-01,36,0.5,N
246,CZE,49.68078,18.66572,303.9,280.5,0.41,0.37,2020-06-01,36,1.3,N
247,CZE,50.56984,13.61037,296.5,283.4,0.4,0.44,2020-06-01,36,0.8,N
248,CZE,49.68132,18.66362,306.1,271.0,0.52,0.5,2020-12-01,6,2.8,N
249,CZE,49.79557,18.32591,312.5,272.6,0.35,0.57,2020-12-01,148,1.9,N
